"XCoord","YCoord","YearBuilt","Floors","PlotArea","PlotFront","PlotDepth","BuildingArea","ResidentialArea","CommercialArea","OfficeArea","IndustrialArea","LandValue","TotalValue","HeatingCost"
"299",25408.0537186532,24690.4573480133,1993,2,1092,26,42,1053,0,0,0,1053,157038.23216306,2877914.97375013,5467.79027754801
"315",25773.8501621889,24824.5063999202,1998,1,975,25,39,793,0,0,0,793,121825.522970175,2233258.60796683,4344.0889878198
"318",26245.0464216479,24646.9109721947,1993,3,1210,22,55,3267,0,0,0,3267,198549.178541405,9141371.38221783,17564.4665415081
"324",25112.7569323608,24378.8934645709,1989,1,1128,24,47,508,0,0,0,508,144348.556922749,1540278.97955757,10463.7419124591
"341",26030.0412728738,24315.4161167331,1991,2,1104,23,48,1987,0,0,0,1987,185902.257824689,5631416.24345474,10867.5868956956
"355",25480.7861856578,24854.9487409182,1995,4,1127,23,49,1352,0,0,0,1352,184646.008044947,3621420.84335675,6751.40940748668
"385",25085.7060158821,24109.0103052557,1987,2,931,19,49,1650,0,0,0,1650,113764.878272661,4709954.34419357,33172.1599437221
"386",25353.1535084464,24935.1377498824,1990,2,1026,18,57,615,0,0,0,615,180204.068418453,1755624.05981936,11649.5744502648
"394",26044.9822840678,24717.4500175752,1991,2,1044,29,36,1879,0,0,0,1879,128660.538766813,4697264.50380171,10046.3532914571
"396",25636.3225275381,24035.5452611111,1989,4,1140,38,30,4104,0,0,0,4104,133115.455389954,10849915.8038378,84448.3825316354
"411",25998.6099303426,24875.5503937136,1988,3,1066,26,41,1924,0,0,0,1924,139041.423988715,5162634.21313595,38785.9110442568
"412",25412.9420747789,24722.8694669902,1989,2,1170,30,39,1538,0,0,1538,0,193312.694284832,4052519.32905056,31089.6434006463
"417",26004.2873265412,24616.1759113893,1988,1,1071,21,51,321,0,0,0,321,210063.257084065,1067278.44909648,6120.02316137651
"423",25303.4784906956,24688.3303842042,1983,4,1080,20,54,1901,0,0,0,1901,165583.938240074,5227427.55561408,38137.489967861
"433",25586.7436042597,24466.6997145396,1995,2,1200,20,60,2160,0,0,2160,0,223976.82113573,5421481.38925619,11740.4589538855
"436",25234.4947880323,24142.6268555224,1986,1,1105,17,65,994,0,0,0,994,158692.871996784,2765306.93185257,19051.0570868209
"439",25811.5378100239,24882.6527281199,1993,1,1080,20,54,972,0,0,0,972,128331.529305317,2716357.44817536,5389.27000343792
"442",25652.953289452,24054.5946867205,1992,3,1008,24,42,1582,0,0,1404,178,139840.017129108,4373767.33946665,8742.91024287107
"449",25795.1960845396,24781.3626271673,1993,3,1071,21,51,2061,586,0,0,1475,118571.232958138,6052313.74476571,11241.4895043329
"451",25422.6694580556,24105.0444908906,1989,3,990,18,55,2224,0,0,0,2224,134498.454840621,5986307.7639868,40921.603816006
"483",25305.5814364482,24170.4135113396,1989,4,1107,27,41,1328,0,0,1053,275,137262.06857306,3723653.67669431,24671.1149862884
"485",25706.9848136855,24122.7138780523,1991,1,1092,21,52,533,0,0,0,533,205223.565309215,1525801.71395598,2829.67124660905
"499",25321.4608543592,24896.3714595884,1993,3,1248,26,48,2390,0,0,0,2390,161774.691503495,6594255.8734871,11862.7033787683
"519",25367.9686151377,24381.8651237525,1987,1,1054,31,34,316,0,0,0,316,175737.793737696,996569.477700675,6112.47130942348
"522",25224.1307718028,24356.0300460085,1990,1,1239,21,59,371,0,0,0,371,226641.720818379,1235408.24366412,7288.10409913379
"525",25783.5381271062,24497.5405675359,1980,1,1102,29,38,991,0,0,0,991,200735.702177044,2988810.30633126,18619.5178175071
"534",25612.2539741287,24035.6883332133,1993,2,1220,20,61,2196,0,0,2196,0,127103.433102369,5996536.53366836,12975.1374852162
"541",25715.3668393781,24374.1103182547,1993,1,1155,21,55,346,0,0,0,346,139494.027009001,989412.213655841,1974.72402454347
"547",25237.1042229798,24814.8109226022,1993,1,1160,29,40,348,0,0,348,0,141058.085289784,1070223.2593948,1808.6748866963
"555",25410.2088062036,24223.1148602441,1998,3,1060,20,53,2310,192,0,0,2118,146332.65141584,5800323.7886983,12134.7795215128
"558",25491.6228236778,24066.9437963516,1988,2,990,30,33,1363,0,0,0,1363,121550.121628912,3661628.14649073,26079.1260378558
"571",25617.5422917977,24121.4926221874,1995,1,1134,27,42,730,0,0,0,730,166162.843024777,2207735.82498794,3914.43119813582
"597",25575.4987140968,24484.4269263558,1991,5,969,19,51,2629,0,0,0,2629,167723.341398337,6786589.76599667,14153.1572284675
"605",25664.7831182273,24046.260781819,1986,3,1071,21,51,2432,0,0,0,2432,182080.655291816,5891454.54587354,47519.7063836814
"620",25193.0697892016,24163.5743456427,1993,4,1120,20,56,3845,0,0,0,3845,139911.527905613,10276981.7879226,21584.6208737475
"649",25074.1449689071,24394.390309928,1989,1,1176,28,42,635,0,0,0,635,192711.677393876,1839073.49775638,12164.8247678776
"658",25591.7904703598,24252.2765805479,1993,1,1173,23,51,799,0,0,0,799,199013.83030666,2350301.60451515,4334.71186587313
"669",25615.7848180114,24753.7576917093,1987,3,1056,22,48,1847,0,0,0,1847,133599.079808593,5348313.81540173,35751.0356492109
"685",25136.0960891027,24143.1490194518,1985,2,1026,18,57,851,0,0,0,851,122641.191985784,2546536.281785,16684.4303737648
"689",25610.4625512321,24472.367050359,1992,2,1092,28,39,952,0,0,0,952,201902.498695068,2517986.13285553,5199.3382304189
"707",25119.7320250338,24305.889101699,1989,1,1196,26,46,1076,0,0,0,1076,175941.442823131,3069557.46502522,21140.5135554996
"711",25088.8148812082,24475.2009899821,1986,2,1240,40,31,744,0,0,0,744,182936.053307727,2025333.40061046,14608.2054719746
"723",25403.1215577148,24819.6943171788,1992,3,1176,28,42,3175,0,0,0,3175,121513.031112403,7988525.00421009,16333.1795471535
"751",25641.7570725858,24833.8143874425,1990,4,1100,22,50,1751,0,0,0,1751,112588.974668179,4466261.32123722,34021.7376310883
"769",25564.2542072233,24699.8120632488,1986,2,1100,20,55,1980,0,0,0,1980,166985.257212073,4922275.67655453,38190.9948826263
"770",26108.4813380671,24366.6898983065,1992,3,1029,21,49,2430,0,0,2112,318,105708.813424688,6477313.26254387,12257.0232418331
"783",25710.7020770718,24219.9096309487,1982,3,1178,19,62,1060,0,0,1060,0,118326.983313775,2717353.68414479,21346.5063784602
"790",25342.4823782427,24368.5625656508,1996,2,1113,21,53,667,0,0,667,0,192039.742335328,1887454.40067491,3376.02896639393
"793",25184.0907183668,24675.8500083815,1992,2,1120,28,40,2016,0,0,0,2016,218657.313961536,5806449.86767769,10289.3278682496
"796",26153.9321590476,24950.0532948878,1996,1,1175,25,47,1057,0,0,0,1057,226310.689256643,2987437.48972677,5491.17136836984
"816",25039.1725872754,24463.3097543847,1994,4,1116,18,62,2191,0,0,0,2191,181441.284584161,6251294.77576469,11422.3107476586
"823",25428.8797995847,24459.822348319,1992,1,1196,23,52,825,0,0,825,0,124408.82194126,2409862.11155287,4177.37068795382
"836",25796.6658311472,24184.3875045888,1986,1,1089,33,33,980,0,0,0,980,133596.093889,2946462.2638199,20797.0557736648
"861",25921.7602410554,24460.089485161,1986,1,1140,19,60,1026,0,0,1026,0,172930.889636278,2652965.72300736,21118.2128323388
"896",25413.2596193979,24321.8202448916,1992,2,1040,26,40,1872,0,0,0,1872,114542.284110561,5425309.35698673,9379.81876621308
"912",25949.6407014487,24637.4064185657,1989,1,1080,18,60,972,0,0,0,972,135720.197763294,2720548.97843767,18661.3483412032
"920",25500.451003497,24140.1785756461,1985,1,1040,26,40,936,0,0,936,0,167313.203528523,2570616.52326733,19168.3383293211
"936",25399.4968320983,24035.1341615897,1993,2,1120,32,35,1860,0,0,0,1860,132436.700303108,5045377.23581679,9964.97398863964
"938",25964.4257343644,24489.4765710924,1993,3,1134,21,54,3061,0,0,0,3061,166708.218642371,8857932.31582579,14316.5135976999
"944",25595.7301646783,24355.9193608817,1990,2,1008,18,56,1665,0,0,0,1665,147539.718562737,4389377.82329984,31695.4613807443
"948",25320.4695966702,24400.4364784341,1994,1,1056,32,33,743,0,0,0,743,196121.103901416,1927360.13255606,3720.23338921868
"969",25456.7017781484,24180.2136388142,1995,1,980,35,28,294,0,0,0,294,128857.540346216,957838.132629637,1679.48020593183
"984",25215.6768397502,24063.3560868446,1992,3,1254,19,66,3385,0,0,3385,0,227461.843356304,8862236.96594015,17859.8404473839
"985",25947.0947371981,24609.3192310072,1985,1,990,30,33,297,0,0,0,297,153278.932556743,925233.990269224,5747.89205544219
"987",25265.6148096889,24283.6983671878,1996,1,1104,23,48,993,0,0,0,993,166524.274526909,2818443.72161881,4842.84559815919
"994",25327.1636019296,24143.8628858887,1994,3,1078,22,49,970,0,0,0,970,209058.577319235,2657350.42678853,5018.86729066831
"1",27436.977926345,25604.1062290315,1972,1,500,20,25,150,0,150,0,0,75713.1452381145,352678.53530182,3106.85997824786
"2",26223.9723014771,26653.9674815722,1985,2,510,15,34,918,918,0,0,0,88435.6747035636,1313890.27623315,18343.9950185054
"4",24801.8786979793,26574.4592682458,1983,3,476,17,28,428,428,0,0,0,72790.5954536516,826205.141441058,8622.38089920899
"6",26424.1874102536,24393.3045873418,1968,3,480,12,40,543,543,0,0,0,82699.8471859843,978760.462280118,10699.5036283375
"7",25555.836239645,26285.6045721564,1985,1,481,13,37,264,264,0,0,0,82687.7481376636,496106.242255203,5000.41334775612
"9",23616.6577894919,25530.0853801891,1984,2,504,18,28,907,907,0,0,0,91928.1714465469,1426086.04483353,17501.8355385183
"10",26312.514295069,25169.5605351124,1980,2,481,13,37,550,550,0,0,0,91824.2489541764,1005964.15045798,10697.1382903831
"15",23576.7706283234,24787.5193676446,1975,1,480,15,32,144,144,0,0,0,80098.0631690472,289422.010278516,2974.25979989199
"18",23594.2819650389,25971.8722708058,1983,3,513,19,27,461,461,0,0,0,80851.000530005,700082.014910644,9343.58115899332
"19",22913.5129715253,25802.5119197555,1978,2,448,14,32,570,570,0,0,0,69381.0348987579,1093236.12284632,11955.4302271181
"20",27491.5825506092,24224.8509319033,1974,1,504,18,28,385,385,0,0,0,92380.7024988346,750591.670777125,7484.8760289103
"25",26893.3703344824,26994.151744293,1978,1,532,14,38,301,301,0,0,0,84032.4695267249,554577.280190762,6199.57898453014
"26",25936.7353441535,26924.1300146095,1976,3,468,12,39,421,421,0,0,0,74922.6941279601,671911.316241941,8180.98947337787
"27",24605.4882117258,26370.1719339006,1976,2,507,13,39,331,331,0,0,0,78263.2348303101,593335.213792697,6175.02609838146
"35",24734.6865028915,26619.5875585545,1976,2,518,14,37,932,932,0,0,0,81709.4563006423,1512143.74954449,18167.9452094183
"40",26564.4060291778,26016.0645113792,1978,1,533,13,41,479,479,0,0,0,99439.991740766,953400.592288189,9791.01027329595
"41",26306.0729975889,25979.3472359888,1981,1,525,15,35,423,423,0,0,0,90550.3621080425,806630.987522914,8597.60273000073
"42",26629.8906329866,24668.5202827211,1974,2,493,17,29,686,686,0,0,0,92147.7937247022,1122944.06070021,13189.4657297688
"43",24283.0955990603,26166.4203875698,1980,1,496,16,31,148,148,0,0,0,76342.8474923596,296015.938576451,2913.43947051791
"44",27325.0601119706,26925.7606572937,1975,3,468,12,39,1234,1234,0,0,0,91996.1263116449,1932618.53613229,24723.6156612565
"49",26489.7494771103,26065.2181569021,1981,3,516,12,43,464,464,0,0,0,86162.3015611432,877144.137256872,9783.72807850452
"50",22787.6004288482,25813.1207192782,1972,2,480,16,30,864,864,0,0,0,82030.4098203778,1554864.56166655,17958.4757185973
"53",27106.4436987121,26048.1642424129,1979,1,551,19,29,165,165,0,0,0,104326.595979661,323152.699459088,3322.33584061388
"55",25002.0898408753,26916.9914347585,1980,3,448,14,32,1209,1209,0,0,0,85418.1309744716,1907569.77042274,23947.5221593833
"60",25325.9299605133,26338.4401551448,1975,2,495,15,33,781,781,0,0,0,95041.8651981745,1172080.97248406,15069.4275778771
"63",22708.9571329309,25614.0702143312,1983,2,420,15,28,708,708,0,0,0,72144.2710803822,1097515.1166195,14586.6424380203
"65",25511.2420427365,26429.6841861214,1979,3,504,18,28,803,803,0,0,0,80737.5496775843,1492804.53783782,16202.4641156253
"66",25767.1076824452,26872.4035054911,1971,1,448,16,28,381,381,0,0,0,72627.297000587,601134.805907402,7876.72263114432
"67",23532.6170262538,24146.0938572418,1974,2,540,20,27,324,324,0,0,0,101245.7641738,570904.91887182,6710.53575592552
"68",23975.7414417192,26920.6685309764,1983,3,495,15,33,841,841,0,0,0,88918.4242640622,1324862.7666275,17304.1573475246
"69",26447.043538943,25332.1005043108,1975,2,459,17,27,275,275,0,0,0,79669.8201103834,501478.208178841,5213.86738435015
"74",25688.7347802099,26450.9274715092,1986,2,480,12,40,524,524,0,0,0,81920.4205367714,989656.376940431,10514.168651241
"75",22351.1670446069,24685.3050116915,1980,2,476,14,34,515,515,0,0,0,89701.29184369,1006856.25722192,10467.0404925838
"76",22734.2843416559,26894.273414975,1983,2,481,13,37,865,865,0,0,0,93207.032834948,1298454.61513412,18017.2380748261
"77",25129.1626216943,26717.2063984908,1977,1,510,17,30,195,195,0,0,0,80172.8426129557,386987.565571326,4086.19040321561
"81",27613.5682502288,24655.6729674339,1980,1,444,12,37,133,133,0,0,0,69742.3021947965,294379.073351179,2614.55078531132
"82",26931.5464062539,25972.5424891803,1969,2,476,14,34,761,761,0,0,0,75133.6466414854,1222968.33889233,15351.0790451409
"83",27194.4575825226,25916.5627565235,1970,3,532,14,38,478,478,0,0,0,101734.783229465,733050.555376546,10008.755618212
"84",26821.0941683484,26846.6222682036,1978,2,510,17,30,915,915,0,0,0,101216.611479758,1554558.03110119,17470.8120476544
"85",24843.630838259,26605.8844013605,1976,2,513,19,27,674,674,0,0,0,86642.530801089,1012404.04186539,14479.1962942905
"87",26420.6376490055,25648.9967366215,1978,3,464,16,29,1252,1252,0,0,0,88775.5505343899,1887036.88156786,26019.6693542436
"88",23883.8259685519,26930.3341659252,1972,2,448,14,32,666,666,0,0,0,73271.3754311204,1030503.26354811,13910.4159144015
"91",24511.979495407,26952.647340484,1985,1,475,19,25,255,255,0,0,0,71824.4233945734,540752.926936373,5350.72769912182
"93",27599.2177566927,25163.5398203507,1985,3,520,13,40,1404,1404,0,0,0,82764.9473669007,2070118.69319361,28764.3012635977
"94",26628.3452784297,25182.6023755129,1981,3,480,20,24,830,830,0,0,0,90877.6797931641,1542842.98221406,16593.4588012414
"95",27067.8189789206,26351.8757864367,1984,1,464,16,29,394,394,0,0,0,83274.4785068557,622172.901392798,7779.29406091796
"96",23435.5246758932,25261.1233012285,1980,3,510,15,34,658,658,0,0,0,78455.5714535527,1023331.58584158,14124.1472226832
"99",2573012.78683057,26961.9731598068,1980,2,520,26,20,312,312,0,0,0,87866.8230725452,615457.841043361,5957.87365916218
"100",22345.4734987871,26607.7841254883,1978,2,432,12,36,259,259,0,0,0,70963.2107617334,438520.310229028,5146.49683377679
"101",26447.3550347715,26081.8945267238,1979,2,560,20,28,1008,1008,0,0,0,91667.6970999688,1742926.80595368,19627.5332193112
"102",26559.3963428663,26855.3086426109,1985,2,480,15,32,562,562,0,0,0,76907.5460471213,993392.981902184,10480.4633720698
"106",25792.3231732798,26143.0195814464,1972,1,525,21,25,472,472,0,0,0,104087.039421138,740995.700818405,9326.83725615316
"109",22190.8472515782,26993.1074918713,1978,3,494,13,38,1304,1304,0,0,0,78441.7234587949,2243286.18494119,25035.0343962244
"110",25080.0684247338,26728.2825484872,1979,1,520,20,26,156,156,0,0,0,100392.212298699,334874.59304072,3156.95914847188
"114",26143.8642561362,24055.0380460918,1986,3,444,12,37,435,435,0,0,0,84638.5881029069,834569.05416681,8925.81091725164
"116",23908.5824428171,26062.3708697967,1980,2,416,13,32,442,442,0,0,0,72724.081620574,725117.270049173,8710.55931059182
"118",22675.5608795934,25821.6252902057,1986,1,440,20,22,337,337,0,0,0,68072.1354689449,664300.246489141,6918.68491609983
"120",23724.1755147334,26157.5441868044,1987,2,490,14,35,294,294,0,0,0,91253.7591799628,564707.871062215,5646.08810177459
"121",23666.5695350661,26352.5309509132,1979,2,444,12,37,266,266,0,0,0,85020.4430693295,461130.222328915,5538.32558280337
"122",26771.0292720553,25584.9267330486,1973,2,459,17,27,647,647,0,0,0,69321.3813765789,976544.560686708,13189.8062999043
"123",27348.5954747559,24756.0796437319,1972,2,468,12,39,842,842,0,0,0,81932.1078121662,1462648.05337279,16793.9668098385
"124",24280.1626571256,26565.4902686365,1988,2,496,16,31,696,0,696,0,0,97505.7927858084,1251719.98867951,14243.6710158737
"125",23237.8980513378,25760.6653973926,1984,3,483,21,23,434,434,0,0,0,85656.2827236252,707114.535695338,8694.58403682964
"127",26162.16327186,25824.8396250419,1975,1,418,11,38,291,291,0,0,0,68011.3205282949,502360.557902069,6094.13845729357
"129",27609.708755947,26446.0667038802,1971,2,540,18,30,590,590,0,0,0,90606.5641993191,951062.967815087,12073.4672847744
"130",23723.8637775894,25939.6001743153,1970,3,510,17,30,1377,1377,0,0,0,92336.7916942807,2546593.50972759,27078.6136244149
"132",25205.9371306154,26781.5008750185,1980,3,507,13,39,1368,1368,0,0,0,76867.7452813019,2073229.15176434,28135.2465198031
"134",23593.3363174645,24874.7952149715,1976,2,459,17,27,395,395,0,0,0,75500.0246395357,624462.233226281,7687.42869689455
"135",22888.0461305062,25273.6659971997,1975,1,480,12,40,144,144,0,0,0,72399.4986265898,285655.229846388,2896.8370943173
"137",23292.0101055818,26583.1002260093,1985,1,506,22,23,151,151,0,0,0,99514.4749703119,335373.376416101,2888.07740206531
"138",22783.8247986114,25013.6445800308,1983,2,504,18,28,907,907,0,0,0,88155.9868527576,1569920.58847602,17807.4498908293
"139",23684.2076642754,26156.9961681962,1979,2,468,13,36,280,280,0,0,0,77654.5698967762,488131.495699193,5934.93076260062
"140",23507.6727647518,24595.9288850427,1982,1,494,19,26,148,148,0,0,0,87052.9179383069,287914.903618768,2987.15405196207
"141",23632.2136386771,24504.9041477032,1978,1,528,16,33,475,475,0,0,0,84904.0255028754,771146.890675556,9742.30359252864
"144",26709.065116081,24643.3857749216,1978,2,455,13,35,676,676,0,0,0,89091.7161157122,1045627.5845926,13723.389795911
"146",27338.7541567133,25548.5097470228,1980,2,495,15,33,297,297,0,0,0,76021.7538350844,615922.110024258,5938.65977394975
"147",26719.7814493718,24722.7903187741,1976,3,480,16,30,1296,1296,0,0,0,81325.9878829122,1938093.88954975,26735.7489171722
"149",26579.1307311283,25569.1834730096,1983,2,544,16,34,326,326,0,0,0,89728.5807285458,662026.473135618,6690.07462638288
"150",22348.2718542788,25928.134262329,1975,2,468,12,39,739,739,0,0,0,84556.8214162253,1425222.3535127,15155.4992441383
"151",24486.2165158524,26431.0797597282,1977,3,468,13,36,421,421,0,0,0,82233.5806815885,772985.791489272,8696.39101153759
"156",23170.9099333417,24524.4294432923,1973,1,468,13,36,282,282,0,0,0,73526.9882993773,502314.172355784,5610.33678048317
"158",26973.9097858653,26845.4891005531,1977,3,475,19,25,427,427,0,0,0,89605.8305646875,699842.818118399,8771.35615789452
"161",26144.6346608669,25920.6591672264,1974,2,440,11,40,541,541,0,0,0,83222.6486918516,914130.551753112,10662.723704032
"163",27215.0644852312,25006.9978719112,1976,2,507,13,39,912,912,0,0,0,76502.9413365293,1701789.06953637,17413.1147447909
"164",23930.5552976871,26943.0851410143,1974,2,518,14,37,852,0,852,0,0,103179.734746483,1395021.33237214,17209.4288882147
"166",25111.5423346976,26302.8370882384,1984,1,392,14,28,268,268,0,0,0,64014.999292139,438715.716279438,5148.67761469751
"167",24811.2586819108,26906.7707061768,1985,1,481,13,37,269,269,0,0,0,83362.4359715614,468970.768100349,5105.46892710802
"168",23245.6226561217,26750.5894233473,1979,2,420,14,30,492,492,0,0,0,69572.5195601117,941982.014206331,10029.5909683172
"169",26274.8546068052,25266.6072347201,1971,3,490,14,35,441,441,0,0,0,96449.9056544155,777982.708446868,8456.34504027272
"170",26172.6712417481,26594.3597371224,1981,2,510,15,34,459,459,0,0,0,93281.296402216,778701.303482428,9111.48533000307
"171",25832.753260568,26250.8337611798,1977,2,429,11,39,352,352,0,0,0,72824.6690134169,560938.747640571,7421.82885481164
"174",23662.9205320201,25154.4050134253,1989,2,456,12,38,297,297,0,0,0,68858.0310367048,475010.537659493,5805.37219818998
"176",28399.9976435962,26939.6118298173,1977,2,518,14,37,684,684,0,0,0,87992.5500466954,1273300.86050336,14654.1962878297
"181",23718.3032949393,26793.133236235,1979,2,495,15,33,891,891,0,0,0,90798.7643445376,1442478.9749095,17712.4787772408
"190",25280.575032412,26809.5561792143,1985,2,520,20,26,312,312,0,0,0,93801.2274783105,515197.316954285,6260.8625346119
"191",26039.374347344,26910.5584316421,1975,2,516,12,43,731,731,0,0,0,100653.323789639,1309855.77924765,14634.6892694563
"194",23676.6485125659,25587.1877954341,1973,2,540,15,36,324,324,0,0,0,99890.2485303115,671012.130099535,6554.67968261459
"199",25749.8337195536,26927.7202065568,1984,1,462,14,33,230,230,0,0,0,72943.3793409728,387306.6862687,4572.35264812908
"200",24204.3999281645,26041.1877797451,1985,3,432,24,18,702,702,0,0,0,66325.5329193547,1217298.63810225,13758.4215223284
"201",24752.6803538452,26482.5711061712,1982,2,486,18,27,649,649,0,0,0,86158.4102466004,1005268.91228225,12421.0786636619
"202",23519.4304822405,26913.1492038723,1979,3,495,15,33,1336,1336,0,0,0,78761.4237723174,2022622.86770151,25402.1938223941
"203",25308.8367101994,26612.5099123456,1976,2,455,13,35,343,343,0,0,0,82522.9455474182,680283.154703164,6747.56952888529
"206",25474.0901864156,26369.2890945822,1985,2,529,23,23,317,317,0,0,0,81228.8489126135,558762.968294718,6577.69697625284
"209",25009.4237158791,26934.4846685417,1975,1,459,17,27,413,413,0,0,0,72567.3115941114,732730.263835145,7770.01877222598
"210",23956.0796467125,26903.4149036743,1976,3,480,15,32,432,432,0,0,0,89867.9679874331,834991.922468506,8848.19399570784
"211",24942.1383824994,26721.7886655126,1979,2,483,23,21,746,746,0,0,0,74487.6008333405,1196618.81631177,14451.7481325299
"217",23781.1751523814,26593.2244635187,1971,3,480,16,30,432,432,0,0,0,74589.2660301179,703633.94140061,8624.36717464776
"218",22714.7621476258,25064.4963153172,1979,2,456,12,38,273,273,0,0,0,88451.012216974,484371.825431648,5313.43663571362
"219",26295.6799639578,24615.7783395611,1981,2,468,18,26,724,724,0,0,0,93397.3016036209,1313883.84967195,14421.1864406447
"220",23184.2896132414,24256.024943199,1971,1,512,16,32,460,460,0,0,0,83583.3938241005,881866.609614156,9287.61100083757
"221",23695.1077992156,24357.202218147,1985,3,495,15,33,1336,1336,0,0,0,83121.5531231719,2175333.42532729,26141.5513850637
"224",25704.7912769235,26524.9658357352,1980,1,494,13,38,148,148,0,0,0,78864.5525213564,323525.48817012,2871.65942790997
"225",23538.2623399635,24860.3241434321,1984,1,481,13,37,432,0,0,0,432,89797.506654053,809312.935135677,8480.77159994186
"226",24134.5044284495,26362.4160764739,1978,3,493,17,29,443,443,0,0,0,77756.8298990838,725648.127474589,9514.46631203046
"235",24809.5542759502,26916.4011587854,1976,2,507,13,39,912,912,0,0,0,85621.2180058938,1365599.34988688,19694.876403179
"237",23678.7922806462,25823.2050994411,1976,2,532,14,38,532,532,0,0,0,98996.2945884094,904360.650441144,11030.2746193044
"239",27267.7093854722,26742.5955666695,1978,1,504,21,24,307,0,0,307,0,83421.1686526425,500407.733570051,6178.17233925086
"241",26735.9950325593,26468.5191807803,1974,1,533,13,41,479,479,0,0,0,105520.786164468,914092.035548016,9292.27329801118
"244",25602.2970387589,26833.9646800887,1971,3,483,23,21,950,0,950,0,0,82626.0399744264,1726727.56583561,19350.5771074433
"246",22784.1034579134,24616.3560133427,1973,1,528,12,44,223,223,0,0,0,82958.9069064707,479741.707413457,4269.15048669225
"247",23303.7382816444,24523.7654324155,1976,1,456,12,38,186,186,0,0,0,78714.7955473512,340527.008762816,3770.32871126811
"250",26253.0819745367,25359.4535894226,1980,3,480,12,40,1123,1123,0,0,0,90171.9180922955,1810634.20406923,22444.7127968428
"251",25963.8299714627,26532.4807232246,1975,2,512,16,32,915,915,0,0,0,101855.450797081,1624868.9793916,19107.9455068136
"252",26455.8331395707,25365.0280677248,1979,1,481,13,37,303,303,0,0,0,80720.3706096276,625161.92124954,6054.4205473622
"254",26866.8401905097,24619.3627780303,1977,3,558,18,31,1506,1506,0,0,0,90758.157996065,2236000.57042697,30254.8335605227
"255",24097.8521597066,26624.7273827903,1970,2,432,12,36,704,704,0,0,0,67128.2291438431,1156001.12960599,13570.6948815719
"256",23504.3911356744,24676.5085835941,1981,2,465,15,31,355,355,0,0,0,85744.0513501642,719561.721724342,7058.97309242047
"260",26227.1959284336,26810.934955487,1981,1,512,16,32,446,446,0,0,0,81540.5035018921,773352.993719745,9102.48135257737
"261",22242.4689762247,26675.091041252,1983,3,480,15,32,1296,1296,0,0,0,73287.5312883407,2180968.86213552,25936.348767739
"262",22262.4866052902,26538.6291397735,1980,1,476,17,28,142,142,0,0,0,82886.3359602168,301980.52427629,2820.05234905551
"265",24227.6992884469,26971.6039015912,1976,2,533,13,41,447,447,0,0,0,81587.6031772117,694437.082547881,9132.5776959864
"266",25419.701721928,26968.7545916531,1976,2,414,18,23,745,745,0,0,0,64885.9766151058,1389870.88304657,15563.4868277345
"267",27771.0405751119,24215.2823524084,1979,2,432,12,36,443,443,0,0,0,76670.2577836812,866560.835743812,8810.03439450711
"268",23799.0796376837,26930.8966544922,1985,3,480,15,32,432,432,0,0,0,76568.6658192426,820327.475210465,8203.30446575493
"270",25115.6691421381,26628.2157017849,1979,3,532,14,38,1436,0,1436,0,0,98117.7373080049,2336331.991236,27880.2686323809
"272",24084.1516576959,26752.9925799463,1982,2,544,16,34,332,332,0,0,0,83889.5810183138,674460.749449069,7013.34839989003
"273",22280.3616693294,24942.4202519003,1975,3,504,18,28,1360,1360,0,0,0,84314.4438735209,2190702.68899882,27797.6402030084
"276",27257.67115362,24612.1569061652,1979,3,527,17,31,1422,1422,0,0,0,102255.586446123,1996597.45145426,29275.6570406946
"278",23283.9536421514,25490.6637459062,1976,1,490,14,35,372,372,0,0,0,86592.907276121,621684.97541321,7373.32179955299
"279",26855.1548856157,25566.2906058133,1975,3,507,13,39,1319,1319,0,0,0,85527.993925265,1912807.15556804,26916.5177818979
"280",26117.957995467,26092.2024382744,1972,3,518,14,37,466,466,0,0,0,99915.3078160016,895478.336948901,9847.91499570203
"281",26304.967995986,25750.506975688,1980,3,546,14,39,1291,1291,0,0,0,92038.2171210833,1946852.02086263,26384.4281311744
"286",23667.2236600657,25933.1111416686,1972,3,434,14,31,390,390,0,0,0,65141.6404799093,732682.566896314,8140.45496994969
"287",25603.759905432,26481.7501993384,1974,1,484,22,22,270,270,0,0,0,86288.2663144264,471843.535718857,5488.82967768031
"288",25345.4192089926,26407.6859154738,1977,2,490,14,35,501,501,0,0,0,80317.1460313024,969651.245858578,10431.8365725397
"289",27417.0723741977,26405.9413578361,1975,3,464,16,29,1252,1252,0,0,0,73094.2573355511,2169973.810974,26388.727289238
"290",22922.2381717036,25749.1674399935,1976,2,504,18,28,302,302,0,0,0,88419.7843330912,526281.932690297,6034.16876755954
"291",24779.8405474607,26649.6481220238,1983,3,476,14,34,428,428,0,0,0,90257.7746533323,784426.383515447,8101.13681781612
"294",27895.5474336945,25829.2891038582,1971,1,500,20,25,150,150,0,0,0,78735.3443913162,336402.188413776,3083.71863795984
"295",25853.7277292771,26096.5520935133,1974,3,475,19,25,514,514,0,0,0,85531.7403964,769052.820638777,10527.3054896175
"300",25759.2431044536,26201.3215420302,1974,1,518,14,37,155,155,0,0,0,86993.8520042459,362319.880225591,3127.32484599657
"301",23890.4161292746,26754.8055904917,1984,3,444,12,37,1198,1198,0,0,0,80667.7623310592,2230204.97442458,24648.7959525669
